WTK	ID
"POLYGON ((10.6607723 44.6955213, 10.6607723 44.6991256, 10.666430250000001 44.6991256, 10.666430250000001 44.6955213, 10.6607723 44.6955213))"	11,14
"POLYGON ((10.666430250000001 44.6955213, 10.666430250000001 44.6991256, 10.672088200000001 44.6991256, 10.672088200000001 44.6955213, 10.666430250000001 44.6955213))"	11,15
"POLYGON ((10.672088200000001 44.6955213, 10.672088200000001 44.6991256, 10.67774615 44.6991256, 10.67774615 44.6955213, 10.672088200000001 44.6955213))"	11,16
"POLYGON ((10.67774615 44.6955213, 10.67774615 44.6991256, 10.6834041 44.6991256, 10.6834041 44.6955213, 10.67774615 44.6955213))"	11,17
"POLYGON ((10.6834041 44.6955213, 10.6834041 44.6991256, 10.68906205 44.6991256, 10.68906205 44.6955213, 10.6834041 44.6955213))"	11,18
"POLYGON ((10.68906205 44.6955213, 10.68906205 44.6991256, 10.69472 44.6991256, 10.69472 44.6955213, 10.68906205 44.6955213))"	11,19
"POLYGON ((10.5928769 44.6955213, 10.5928769 44.6991256, 10.59853485 44.6991256, 10.59853485 44.6955213, 10.5928769 44.6955213))"	11,2
"POLYGON ((10.59853485 44.6955213, 10.59853485 44.6991256, 10.6041928 44.6991256, 10.6041928 44.6955213, 10.59853485 44.6955213))"	11,3
"POLYGON ((10.6041928 44.6955213, 10.6041928 44.6991256, 10.60985075 44.6991256, 10.60985075 44.6955213, 10.6041928 44.6955213))"	11,4
"POLYGON ((10.60985075 44.6955213, 10.60985075 44.6991256, 10.615508700000001 44.6991256, 10.615508700000001 44.6955213, 10.60985075 44.6955213))"	11,5
"POLYGON ((10.615508700000001 44.6955213, 10.615508700000001 44.6991256, 10.621166650000001 44.6991256, 10.621166650000001 44.6955213, 10.615508700000001 44.6955213))"	11,6
"POLYGON ((10.621166650000001 44.6955213, 10.621166650000001 44.6991256, 10.6268246 44.6991256, 10.6268246 44.6955213, 10.621166650000001 44.6955213))"	11,7
"POLYGON ((10.6268246 44.6955213, 10.6268246 44.6991256, 10.63248255 44.6991256, 10.63248255 44.6955213, 10.6268246 44.6955213))"	11,8
"POLYGON ((10.63248255 44.6955213, 10.63248255 44.6991256, 10.6381405 44.6991256, 10.6381405 44.6955213, 10.63248255 44.6955213))"	11,9
"POLYGON ((10.581561 44.6991256, 10.581561 44.7027299, 10.58721895 44.7027299, 10.58721895 44.6991256, 10.581561 44.6991256))"	12,0
"POLYGON ((10.58721895 44.6991256, 10.58721895 44.7027299, 10.5928769 44.7027299, 10.5928769 44.6991256, 10.58721895 44.6991256))"	12,1
"POLYGON ((10.6381405 44.6991256, 10.6381405 44.7027299, 10.64379845 44.7027299, 10.64379845 44.6991256, 10.6381405 44.6991256))"	12,10
"POLYGON ((10.64379845 44.6991256, 10.64379845 44.7027299, 10.6494564 44.7027299, 10.6494564 44.6991256, 10.64379845 44.6991256))"	12,11
"POLYGON ((10.6494564 44.6991256, 10.6494564 44.7027299, 10.65511435 44.7027299, 10.65511435 44.6991256, 10.6494564 44.6991256))"	12,12
"POLYGON ((10.65511435 44.6991256, 10.65511435 44.7027299, 10.6607723 44.7027299, 10.6607723 44.6991256, 10.65511435 44.6991256))"	12,13
"POLYGON ((10.6607723 44.6991256, 10.6607723 44.7027299, 10.666430250000001 44.7027299, 10.666430250000001 44.6991256, 10.6607723 44.6991256))"	12,14
"POLYGON ((10.666430250000001 44.6991256, 10.666430250000001 44.7027299, 10.672088200000001 44.7027299, 10.672088200000001 44.6991256, 10.666430250000001 44.6991256))"	12,15
"POLYGON ((10.672088200000001 44.6991256, 10.672088200000001 44.7027299, 10.67774615 44.7027299, 10.67774615 44.6991256, 10.672088200000001 44.6991256))"	12,16
"POLYGON ((10.67774615 44.6991256, 10.67774615 44.7027299, 10.6834041 44.7027299, 10.6834041 44.6991256, 10.67774615 44.6991256))"	12,17
"POLYGON ((10.6834041 44.6991256, 10.6834041 44.7027299, 10.68906205 44.7027299, 10.68906205 44.6991256, 10.6834041 44.6991256))"	12,18
"POLYGON ((10.68906205 44.6991256, 10.68906205 44.7027299, 10.69472 44.7027299, 10.69472 44.6991256, 10.68906205 44.6991256))"	12,19
"POLYGON ((10.5928769 44.6991256, 10.5928769 44.7027299, 10.59853485 44.7027299, 10.59853485 44.6991256, 10.5928769 44.6991256))"	12,2
"POLYGON ((10.59853485 44.6991256, 10.59853485 44.7027299, 10.6041928 44.7027299, 10.6041928 44.6991256, 10.59853485 44.6991256))"	12,3
"POLYGON ((10.6041928 44.6991256, 10.6041928 44.7027299, 10.60985075 44.7027299, 10.60985075 44.6991256, 10.6041928 44.6991256))"	12,4
"POLYGON ((10.60985075 44.6991256, 10.60985075 44.7027299, 10.615508700000001 44.7027299, 10.615508700000001 44.6991256, 10.60985075 44.6991256))"	12,5
"POLYGON ((10.615508700000001 44.6991256, 10.615508700000001 44.7027299, 10.621166650000001 44.7027299, 10.621166650000001 44.6991256, 10.615508700000001 44.6991256))"	12,6
"POLYGON ((10.621166650000001 44.6991256, 10.621166650000001 44.7027299, 10.6268246 44.7027299, 10.6268246 44.6991256, 10.621166650000001 44.6991256))"	12,7
"POLYGON ((10.6268246 44.6991256, 10.6268246 44.7027299, 10.63248255 44.7027299, 10.63248255 44.6991256, 10.6268246 44.6991256))"	12,8
